"id","name","lines__number","lines__route","description","note","coordinateX","coordinateY","next_stop","previous_stop","date_built"
"14","Kruge - jug","5","PREČKO - PARK MAKSIMIR","smjer Av. Marina Držića","","15.984915","45.800527999000053","Strojarska","Lisinski","17.06.2000."
"14","Kruge - jug","13","ŽITNJAK - KVATERNIKOV TRG","smjer Av. Marina Držića","","15.984915","45.800527999000053","Strojarska","Lisinski","17.06.2000."
"15","Kruge - sjever","3","LJUBLJANICA - HEINZELOVA","smjer Savska cesta","","15.985474999000076","45.800616999000056","Lisinski","Strojarska","15.06.2000."
"15","Kruge - sjever","5","PREČKO - PARK MAKSIMIR","smjer Savska cesta","","15.985474999000076","45.800616999000056","Lisinski","Strojarska","15.06.2000."
"15","Kruge - sjever","13","ŽITNJAK - KVATERNIKOV TRG","smjer Savska cesta","","15.985474999000076","45.800616999000056","Lisinski","Strojarska","15.06.2000."
"16","Kvaternikov trg - sjever","4","SAVSKI MOST - DUBEC","smjer Trg Josipa Jelačića/Autobusni kolodvor","Linije 5 i 7 prometuju prema Autobusnom kolodvoru","15.997641999000052","45.815329999000028","Petrova","Mašićeva","11.11.2000."
"16","Kvaternikov trg - sjever","5","PREČKO - PARK MAKSIMIR","smjer Trg Josipa Jelačića/Autobusni kolodvor","Linije 5 i 7 prometuju prema Autobusnom kolodvoru","15.997641999000052","45.815329999000028","Petrova","Mašićeva","11.11.2000."
"16","Kvaternikov trg - sjever","7","ARENA ZAGREB - DUBRAVA","smjer Trg Josipa Jelačića/Autobusni kolodvor","Linije 5 i 7 prometuju prema Autobusnom kolodvoru","15.997641999000052","45.815329999000028","Petrova","Mašićeva","11.11.2000."
"16","Kvaternikov trg - sjever","11","ČRNOMEREC - DUBEC","smjer Trg Josipa Jelačića/Autobusni kolodvor","Linije 5 i 7 prometuju prema Autobusnom kolodvoru","15.997641999000052","45.815329999000028","Petrova","Mašićeva","11.11.2000."
"16","Kvaternikov trg - sjever","12","LJUBLJANICA - DUBRAVA","smjer Trg Josipa Jelačića/Autobusni kolodvor","Linije 5 i 7 prometuju prema Autobusnom kolodvoru","15.997641999000052","45.815329999000028","Petrova","Mašićeva","11.11.2000."
