id,name,lines_number,lines_route,description,note,coordinateX,coordinateY,next_stop,previous_stop,date_built
10,Klinika za traumatologiju - istok,8,KVATERNIKOV TRG - ZAPRUĐE,smjer Dubrava\Mihaljevac,Linije 4 i 34 smjer Dubec, linije 8 i 33 smjer Mihaljevac,15.98373900100006,45.810451999000065,Draškovićeva,Sheraton,Thu Mar 29 2001 00:00:00 GMT+0200 (Central European Summer Time)
11,Klinika za traumatologiju - zapad,4,SAVSKI MOST - DUBEC,smjer Glavni kolodvor\Autobusni kolodvor,Linije 4, 34 i 33 smjer Glavni kolodvor, linija 8 smjer Zapruđe,15.983587999000065,45.81007599900005,Sheraton,Draškovićeva,Sat Mar 31 2001 00:00:00 GMT+0200 (Central European Summer Time)
11,Klinika za traumatologiju - zapad,8,KVATERNIKOV TRG - ZAPRUĐE,smjer Glavni kolodvor\Autobusni kolodvor,Linije 4, 34 i 33 smjer Glavni kolodvor, linija 8 smjer Zapruđe,15.983587999000065,45.81007599900005,Sheraton,Draškovićeva,Sat Mar 31 2001 00:00:00 GMT+0200 (Central European Summer Time)
12,Knežija - jug,5,PREČKO - PARK MAKSIMIR,smjer Savska cesta,,15.945352,45.78813899900007,Horvati,St. dom S. Radić,Fri May 14 1999 00:00:00 GMT+0200 (Central European Summer Time)
12,Knežija - jug,17,PREČKO - BORONGAJ,smjer Savska cesta,,15.945352,45.78813899900007,Horvati,St. dom S. Radić,Fri May 14 1999 00:00:00 GMT+0200 (Central European Summer Time)
13,Knežija - sjever,5,PREČKO - PARK MAKSIMIR,smjer Prečko,,15.944696,45.78823299900006,St. dom S. Radić,Horvati,Sat May 15 1999 00:00:00 GMT+0200 (Central European Summer Time)
13,Knežija - sjever,17,PREČKO - BORONGAJ,smjer Prečko,,15.944696,45.78823299900006,St. dom S. Radić,Horvati,Sat May 15 1999 00:00:00 GMT+0200 (Central European Summer Time)
14,Kruge - jug,3,LJUBLJANICA - HEINZELOVA,smjer Av. Marina Držića,,15.984915,45.80052799900005,Strojarska,Lisinski,Sat Jun 17 2000 00:00:00 GMT+0200 (Central European Summer Time)
14,Kruge - jug,5,PREČKO - PARK MAKSIMIR,smjer Av. Marina Držića,,15.984915,45.80052799900005,Strojarska,Lisinski,Sat Jun 17 2000 00:00:00 GMT+0200 (Central European Summer Time)
14,Kruge - jug,13,ŽITNJAK - KVATERNIKOV TRG,smjer Av. Marina Držića,,15.984915,45.80052799900005,Strojarska,Lisinski,Sat Jun 17 2000 00:00:00 GMT+0200 (Central European Summer Time)
15,Kruge - sjever,3,LJUBLJANICA - HEINZELOVA,smjer Savska cesta,,15.985474999000076,45.800616999000056,Lisinski,Strojarska,Thu Jun 15 2000 00:00:00 GMT+0200 (Central European Summer Time)
15,Kruge - sjever,5,PREČKO - PARK MAKSIMIR,smjer Savska cesta,,15.985474999000076,45.800616999000056,Lisinski,Strojarska,Thu Jun 15 2000 00:00:00 GMT+0200 (Central European Summer Time)
15,Kruge - sjever,13,ŽITNJAK - KVATERNIKOV TRG,smjer Savska cesta,,15.985474999000076,45.800616999000056,Lisinski,Strojarska,Thu Jun 15 2000 00:00:00 GMT+0200 (Central European Summer Time)
16,Kvaternikov trg - sjever,4,SAVSKI MOST - DUBEC,smjer Trg Josipa Jelačića/Autobusni kolodvor,Linije 5 i 7 prometuju prema Autobusnom kolodvoru,15.997641999000052,45.81532999900003,Petrova,Mašićeva,Sat Nov 11 2000 00:00:00 GMT+0100 (Central European Standard Time)
16,Kvaternikov trg - sjever,5,PREČKO - PARK MAKSIMIR,smjer Trg Josipa Jelačića/Autobusni kolodvor,Linije 5 i 7 prometuju prema Autobusnom kolodvoru,15.997641999000052,45.81532999900003,Petrova,Mašićeva,Sat Nov 11 2000 00:00:00 GMT+0100 (Central European Standard Time)
16,Kvaternikov trg - sjever,7,ARENA ZAGREB - DUBRAVA,smjer Trg Josipa Jelačića/Autobusni kolodvor,Linije 5 i 7 prometuju prema Autobusnom kolodvoru,15.997641999000052,45.81532999900003,Petrova,Mašićeva,Sat Nov 11 2000 00:00:00 GMT+0100 (Central European Standard Time)
16,Kvaternikov trg - sjever,11,ČRNOMEREC - DUBEC,smjer Trg Josipa Jelačića/Autobusni kolodvor,Linije 5 i 7 prometuju prema Autobusnom kolodvoru,15.997641999000052,45.81532999900003,Petrova,Mašićeva,Sat Nov 11 2000 00:00:00 GMT+0100 (Central European Standard Time)
16,Kvaternikov trg - sjever,12,LJUBLJANICA - DUBRAVA,smjer Trg Josipa Jelačića/Autobusni kolodvor,Linije 5 i 7 prometuju prema Autobusnom kolodvoru,15.997641999000052,45.81532999900003,Petrova,Mašićeva,Sat Nov 11 2000 00:00:00 GMT+0100 (Central European Standard Time)
17,Kvaternikov trg ulaz/izlaz - istok,13,ŽITNJAK - KVATERNIKOV TRG,smjer Trg bana Josipa Jelačića,,15.997355001000074,45.81488499900007,Tržnica Kvatrić,Šubićeva,Sat Nov 11 2000 00:00:00 GMT+0100 (Central European Standard Time)
18,Kvaternikov trg - jug,4,SAVSKI MOST - DUBEC,smjer Dubrava\Dubec,Linija 12 prometuje do okretišta Dubrava, linije 4, 11 i 34 smjer Dubec,15.99699,45.814917999000045,Mašićeva,Petrova,Sat Nov 11 2000 00:00:00 GMT+0100 (Central European Standard Time)
18,Kvaternikov trg - jug,11,ČRNOMEREC - DUBEC,smjer Dubrava\Dubec,Linija 12 prometuje do okretišta Dubrava, linije 4, 11 i 34 smjer Dubec,15.99699,45.814917999000045,Mašićeva,Petrova,Sat Nov 11 2000 00:00:00 GMT+0100 (Central European Standard Time)
18,Kvaternikov trg - jug,12,LJUBLJANICA - DUBRAVA,smjer Dubrava\Dubec,Linija 12 prometuje do okretišta Dubrava, linije 4, 11 i 34 smjer Dubec,15.99699,45.814917999000045,Mašićeva,Petrova,Sat Nov 11 2000 00:00:00 GMT+0100 (Central European Standard Time)
19,Lisinski - jug,3,LJUBLJANICA - HEINZELOVA,smjer Av. Marina Držića,,15.980155001000071,45.80027099900008,Kruge,Miramarska,Tue Jul 27 1999 00:00:00 GMT+0200 (Central European Summer Time)
19,Lisinski - jug,5,PREČKO - PARK MAKSIMIR,smjer Av. Marina Držića,,15.980155001000071,45.80027099900008,Kruge,Miramarska,Tue Jul 27 1999 00:00:00 GMT+0200 (Central European Summer Time)
19,Lisinski - jug,13,ŽITNJAK - KVATERNIKOV TRG,smjer Av. Marina Držića,,15.980155001000071,45.80027099900008,Kruge,Miramarska,Tue Jul 27 1999 00:00:00 GMT+0200 (Central European Summer Time)
20,Lisinski - sjever,3,LJUBLJANICA - HEINZELOVA,smjer Savska cesta,,15.977874,45.800237999000046,Miramarska,Kruge,Wed Jul 28 1999 00:00:00 GMT+0200 (Central European Summer Time)
20,Lisinski - sjever,5,PREČKO - PARK MAKSIMIR,smjer Savska cesta,,15.977874,45.800237999000046,Miramarska,Kruge,Wed Jul 28 1999 00:00:00 GMT+0200 (Central European Summer Time)
20,Lisinski - sjever,13,ŽITNJAK - KVATERNIKOV TRG,smjer Savska cesta,,15.977874,45.800237999000046,Miramarska,Kruge,Wed Jul 28 1999 00:00:00 GMT+0200 (Central European Summer Time)
